zip_code,city,country,state
35004,Moody,Saint Clair,Alabama
35005,Adamsville,Jefferson,Alabama
35006,Adger,Jefferson,Alabama
35007,Alabaster,Shelby,Alabama
35010,Alexander City,Tallapoosa,Alabama
35011,Alexander City,Tallapoosa,Alabama
35013,Allgood,Blount,Alabama
35014,Alpine,Talladega,Alabama
35015,Alton,Jefferson,Alabama
35016,Arab,Marshall,Alabama
35019,Baileyton,Cullman,Alabama
35020,Bessemer,Jefferson,Alabama
35021,Bessemer,Jefferson,Alabama
35022,Bessemer,Jefferson,Alabama
35023,Bessemer,Jefferson,Alabama
35031,Blountsville,Blount,Alabama
35032,Bon Air,Talladega,Alabama
35033,Bremen,Cullman,Alabama
35034,Brent,Bibb,Alabama
35035,Brierfield,Bibb,Alabama
35036,Brookside,Jefferson,Alabama
35038,Burnwell,Walker,Alabama
35040,Calera,Shelby,Alabama
35041,Cardiff,Jefferson,Alabama
35042,Centreville,Bibb,Alabama
35043,Chelsea,Shelby,Alabama
35044,Childersburg,Talladega,Alabama
35045,Clanton,Chilton,Alabama
35046,Clanton,Chilton,Alabama
35048,Clay,Jefferson,Alabama
35049,Cleveland,Blount,Alabama
35051,Columbiana,Shelby,Alabama
35052,Cook Springs,Saint Clair,Alabama
35053,Crane Hill,Cullman,Alabama
35054,Cropwell,Saint Clair,Alabama
35055,Cullman,Cullman,Alabama
35056,Cullman,Cullman,Alabama
35057,Cullman,Cullman,Alabama
35058,Cullman,Cullman,Alabama
35060,Docena,Jefferson,Alabama
35061,Dolomite,Jefferson,Alabama
35062,Dora,Jefferson,Alabama
35063,Empire,Walker,Alabama
35064,Fairfield,Jefferson,Alabama
35068,Fultondale,Jefferson,Alabama
35070,Garden City,Cullman,Alabama
35071,Gardendale,Jefferson,Alabama
35072,Goodwater,Coosa,Alabama
35073,Graysville,Jefferson,Alabama
35074,Green Pond,Bibb,Alabama
35077,Hanceville,Cullman,Alabama
35078,Harpersville,Shelby,Alabama
35079,Hayden,Blount,Alabama
35080,Helena,Shelby,Alabama
35082,Hollins,Clay,Alabama
35083,Holly Pond,Cullman,Alabama
35085,Jemison,Chilton,Alabama
35087,Joppa,Cullman,Alabama
35089,Kellyton,Coosa,Alabama
35091,Kimberly,Jefferson,Alabama
35094,Leeds,Jefferson,Alabama
35096,Lincoln,Talladega,Alabama
35097,Locust Fork,Blount,Alabama
35098,Logan,Cullman,Alabama
35111,Mc Calla,Jefferson,Alabama
35112,Margaret,Saint Clair,Alabama
35114,Maylene,Shelby,Alabama
35115,Montevallo,Shelby,Alabama
35116,Morris,Jefferson,Alabama
35117,Mount Olive,Jefferson,Alabama
35118,Mulga,Jefferson,Alabama
35119,New Castle,Jefferson,Alabama
35120,Odenville,Saint Clair,Alabama
35121,Oneonta,Blount,Alabama
35123,Palmerdale,Jefferson,Alabama
35124,Pelham,Shelby,Alabama
35125,Pell City,Saint Clair,Alabama
35126,Pinson,Jefferson,Alabama
35127,Pleasant Grove,Jefferson,Alabama
35128,Pell City,Saint Clair,Alabama
35130,Quinton,Walker,Alabama
35131,Ragland,Saint Clair,Alabama
35133,Remlap,Blount,Alabama
35135,Riverside,Saint Clair,Alabama
35136,Rockford,Coosa,Alabama
